FQDN;NNI1;NNI2;NNI3;NNI4
edge1-sjc.nn.hea.net;empty;empty;empty;empty
edge1-tcd.nn.hea.net;core1-tcd.nn.hea.net;empty;empty;empty
edge1-tcd-amnch.nn.hea.net;edge1-cwt.nn.hea.net;empty;empty;empty
edge1-tcd-dartry.nn.hea.net;edge1-pw.nn.hea.net;edge2-tcd-dartry.nn.hea.net;empty;empty
edge1-tcd-dolier.nn.hea.net;empty;empty;empty;empty
edge1-tcd-ent.nn.hea.net;empty;empty;empty;empty
edge1-tcd-foster.nn.hea.net;empty;empty;empty;empty
edge1-tcd-lofar.nn.hea.net;empty;empty;empty;empty
edge1-tcd-som.nn.hea.net;edge1-cwt.nn.hea.net;empty;empty;empty
edge1-tcd-stackb.nn.hea.net;edge1-tcd.nn.hea.net;empty;empty;empty
edge1-tcd-stjames.nn.hea.net;empty;empty;empty;empty
edge1-thea.nn.hea.net;empty;empty;empty;empty
edge1-ucc-beaufort.nn.hea.net;empty;empty;empty;empty
edge1-ucc-bsu.nn.hea.net;empty;empty;empty;empty
edge1-ucc-ci.nn.hea.net;empty;empty;empty;empty
edge1-ucc-csa.nn.hea.net;edge1-cork1.nn.hea.net;edge1-cork2.nn.hea.net;empty;empty
edge1-ucc-grctc.nn.hea.net;empty;empty;empty;empty
edge1-ucc-hmrc.nn.hea.net;edge1-cork1.nn.hea.net;edge1-cork2.nn.hea.net;empty;empty
edge1-ucc-imi.nn.hea.net;? - Tender.nn.hea.net;empty;empty;empty
edge1-ucd.nn.hea.net;core1-ucd.nn.hea.net;empty;empty;empty
edge1-ucd-carysfort.nn.hea.net;edge1-cwt.nn.hea.net;edge2-ucd-carysfort.nn.hea.net;empty;empty
edge1-ucd-eccles.nn.hea.net;empty;empty;empty;empty
edge1-ucd-lyons.nn.hea.net;empty;empty;empty;empty
edge1-ucd-newhse.nn.hea.net;empty;empty;empty;empty
edge1-ucd-olhsc.nn.hea.net;edge2-dcu.nn.hea.net;empty;empty;empty
edge1-ucd-rveeh.nn.hea.net;empty;empty;empty;empty
edge1-ucd-svuh.nn.hea.net;edge1-tcd.nn.hea.net;edge2-tcd.nn.hea.net;empty;empty
edge1-ul-cerc.nn.hea.net;edge1-lim1.nn.hea.net;edge1-lim2.nn.hea.net;empty;empty
edge1-ul-outreach.nn.hea.net;edge1-lim1.nn.hea.net;edge1-lim2.nn.hea.net;empty;empty
edge1-ul-portiuncula.nn.hea.net;edge2-pw.nn.hea.net;empty;empty;empty
edge1-ul-troy.nn.hea.net;edge1-lim1.nn.hea.net;empty;empty;empty
edge1-wit-col.nn.hea.net;dist1-wat1.nn.hea.net;dist1-wat2.nn.hea.net;empty;empty
edge1-wit-gb.nn.hea.net;dist1-wat1.nn.hea.net;dist1-wat2.nn.hea.net;empty;empty
edge1-wit-stkiaran.nn.hea.net;empty;empty;empty;empty
edge2-blanch.nn.hea.net;core2-blanch.nn.hea.net;empty;empty;empty
edge2-cao.nn.hea.net;edge1-gal2.nn.hea.net;edge1-cao.nn.hea.net;empty;empty
edge2-cwt.nn.hea.net;core2-cwt.nn.hea.net;empty;empty;empty
edge2-dcu.nn.hea.net;core2-dcu.nn.hea.net;empty;empty;empty
edge2-dcu-spd.nn.hea.net;edge2-dcu.nn.hea.net;edge1-dcu-spd.nn.hea.net;empty;empty
edge2-educampus-cwt.nn.hea.net;edge1-cwt.nn.hea.net;edge1-educampus-cwt.nn.hea.net;empty;empty
edge2-gd5-testlab.nn.hea.net;empty;empty;empty;empty
edge2-ittd-rem.nn.hea.net;empty;empty;empty;empty
edge2-oir.nn.hea.net;edge1-cwt.nn.hea.net;empty;empty;empty
edge2-pw.nn.hea.net;core2-pw.nn.hea.net;empty;empty;empty
edge2-qqi.nn.hea.net;edge1-pw.nn.hea.net;edge1-qqi.nn.hea.net;empty;empty
edge2-tcd.nn.hea.net;core2-tcd.nn.hea.net;empty;empty;empty
edge2-tcd-dartry.nn.hea.net;edge1-cwt.nn.hea.net;edge1-tcd-dartry.nn.hea.net;empty;empty
edge2-ucd.nn.hea.net;core2-ucd.nn.hea.net;empty;empty;empty
edge2-ucd-carysfort.nn.hea.net;edge1-ucd.nn.hea.net;edge1-ucd-carysfort.nn.hea.net;empty;empty
rr1-cwt.nn.hea.net;core1-cwt.nn.hea.net;core2-cwt.nn.hea.net;empty;empty
rr1-pw.nn.hea.net;core1-pw.nn.hea.net;core2-pw.nn.hea.net;empty;empty
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
